Year,Industry,Productivity,Trained Workers,Undereployment Rate,Unemployment Rate,Qualification Rate
2005,TOTAL,21.4,,,,
2007,TOTAL,25.3,,,,
2008,TOTAL,32.0,,,,
2009,TOTAL,37.9,14.8,,,14.8
2010,TOTAL,43.93,14.6,3.56,2.91,14.7
2011,TOTAL,55.0,15.4,2.95,2.22,15.6
2012,TOTAL,62.79,16.5,2.74,1.95,16.7
2013,TOTAL,68.26,17.9,2.74,2.17,18.2
2014,TOTAL,74.26,18.3,2.39,2.1,18.7
2015,TOTAL,78.95,20.1,2.3,2.34,20.4
2016,TOTAL,84.41,20.5,1.88,2.29,20.9
2017,TOTAL,93.21,21.3,1.97,2.22,21.6
2018,TOTAL,102.1,21.9,1.62,2.19,22.0
2019,TOTAL,110.45,22.6,1.5,2.17,22.8
2020,TOTAL,117.39,23.62,2.52,2.48,24.05
2005,"Agriculture, forestry and fishing",7.5,,,,
2007,"Agriculture, forestry and fishing",9.7,,,,
2008,"Agriculture, forestry and fishing",13.6,,,,
2009,"Agriculture, forestry and fishing",14.1,3.9,,,
2010,"Agriculture, forestry and fishing",16.6,2.4,,,
2011,"Agriculture, forestry and fishing",22.21,2.7,,,
2012,"Agriculture, forestry and fishing",25.4,3.0,,,
2013,"Agriculture, forestry and fishing",26.21,3.5,,,
2014,"Agriculture, forestry and fishing",28.47,3.6,,,
2015,"Agriculture, forestry and fishing",30.79,4.3,,,
2016,"Agriculture, forestry and fishing",33.12,4.1,,,
2017,"Agriculture, forestry and fishing",35.8,4.2,,,
2018,"Agriculture, forestry and fishing",39.85,4.1,,,
2019,"Agriculture, forestry and fishing",44.74,4.0,,,
2020,"Agriculture, forestry and fishing",52.74,4.62,,,
2005,Mining and quarrying,346.6,,,,
2007,Mining and quarrying,373.8,,,,
2008,Mining and quarrying,503.1,,,,
2009,Mining and quarrying,567.1,41.7,,,
2010,Mining and quarrying,733.66,33.7,,,
2011,Mining and quarrying,961.86,35.4,,,
2012,Mining and quarrying,1269.24,43.3,,,
2013,Mining and quarrying,1444.94,43.2,,,
2014,Mining and quarrying,1748.09,52.4,,,
2015,Mining and quarrying,1747.8,49.5,,,
2016,Mining and quarrying,1687.54,50.7,,,
2017,Mining and quarrying,1741.65,47.9,,,
2018,Mining and quarrying,2054.49,51.3,,,
2019,Mining and quarrying,2050.51,54.0,,,
2020,Mining and quarrying,2008.16,51.11,,,
2005,Manufacturing,34.2,,,,
2007,Manufacturing,42.7,,,,
2008,Manufacturing,50.1,,,,
2009,Manufacturing,51.3,14.9,,,
2010,Manufacturing,39.62,13.5,,,
2011,Manufacturing,52.99,14.8,,,
2012,Manufacturing,60.24,16.7,,,
2013,Manufacturing,64.91,18.4,,,
2014,Manufacturing,67.26,18.0,,,
2015,Manufacturing,67.89,18.0,,,
2016,Manufacturing,70.98,18.5,,,
2017,Manufacturing,80.47,18.6,,,
2018,Manufacturing,88.66,17.9,,,
2019,Manufacturing,88.16,17.7,,,
2020,Manufacturing,92.96,17.94,,,
2005,"Electricity, gas, stream and air conditioning supply",220.0,,,,
2007,"Electricity, gas, stream and air conditioning supply",312.2,,,,
2008,"Electricity, gas, stream and air conditioning supply",337.7,,,,
2009,"Electricity, gas, stream and air conditioning supply",468.6,53.0,,,
2010,"Electricity, gas, stream and air conditioning supply",495.26,67.3,,,
2011,"Electricity, gas, stream and air conditioning supply",578.29,69.4,,,
2012,"Electricity, gas, stream and air conditioning supply",749.7,77.7,,,
2013,"Electricity, gas, stream and air conditioning supply",870.69,76.3,,,
2014,"Electricity, gas, stream and air conditioning supply",924.87,73.0,,,
2015,"Electricity, gas, stream and air conditioning supply",1134.16,75.9,,,
2016,"Electricity, gas, stream and air conditioning supply",1180.47,78.7,,,
2017,"Electricity, gas, stream and air conditioning supply",1424.92,75.8,,,
2018,"Electricity, gas, stream and air conditioning supply",1500.93,72.6,,,
2019,"Electricity, gas, stream and air conditioning supply",1511.74,76.4,,,
2020,"Electricity, gas, stream and air conditioning supply",1740.31,77.79,,,
2005,"Water supply, sewerage, waste management and remediation activities",37.3,,,,
2007,"Water supply, sewerage, waste management and remediation activities",85.3,,,,
2008,"Water supply, sewerage, waste management and remediation activities",125.5,,,,
2009,"Water supply, sewerage, waste management and remediation activities",84.7,37.4,,,
2010,"Water supply, sewerage, waste management and remediation activities",93.57,29.6,,,
2011,"Water supply, sewerage, waste management and remediation activities",127.83,33.4,,,
2012,"Water supply, sewerage, waste management and remediation activities",141.22,32.9,,,
2013,"Water supply, sewerage, waste management and remediation activities",150.27,36.0,,,
2014,"Water supply, sewerage, waste management and remediation activities",176.87,40.3,,,
2015,"Water supply, sewerage, waste management and remediation activities",176.83,45.7,,,
2016,"Water supply, sewerage, waste management and remediation activities",174.38,43.1,,,
2017,"Water supply, sewerage, waste management and remediation activities",193.19,45.0,,,
2018,"Water supply, sewerage, waste management and remediation activities",192.31,37.7,,,
2019,"Water supply, sewerage, waste management and remediation activities",191.11,37.5,,,
2020,"Water supply, sewerage, waste management and remediation activities",204.29,39.94,,,
2005,Construction,26.9,,,,
2007,Construction,33.6,,,,
2008,Construction,38.8,,,,
2009,Construction,42.5,12.4,,,
2010,Construction,43.08,12.7,,,
2011,Construction,48.12,11.7,,,
2012,Construction,52.89,12.5,,,
2013,Construction,55.96,14.0,,,
2014,Construction,62.44,14.0,,,
2015,Construction,69.47,15.0,,,
2016,Construction,65.46,13.9,,,
2017,Construction,70.63,13.7,,,
2018,Construction,75.7,13.1,,,
2019,Construction,77.72,14.1,,,
2020,Construction,82.95,13.86,,,
2005,Wholesale and retail trade; repair of motor vehicles and motorcycles,24.3,,,,
2007,Wholesale and retail trade; repair of motor vehicles and motorcycles,31.2,,,,
2008,Wholesale and retail trade; repair of motor vehicles and motorcycles,40.9,,,,
2009,Wholesale and retail trade; repair of motor vehicles and motorcycles,46.7,13.3,,,
2010,Wholesale and retail trade; repair of motor vehicles and motorcycles,30.48,13.7,,,
2011,Wholesale and retail trade; repair of motor vehicles and motorcycles,40.3,14.3,,,
2012,Wholesale and retail trade; repair of motor vehicles and motorcycles,47.44,14.9,,,
2013,Wholesale and retail trade; repair of motor vehicles and motorcycles,51.63,16.6,,,
2014,Wholesale and retail trade; repair of motor vehicles and motorcycles,58.85,17.7,,,
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,63.07,21.2,,,
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,69.88,21.6,,,
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,77.9,22.4,,,
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,82.71,22.3,,,
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,92.56,25.1,,,
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,100.69,27.17,,,
2005,Transportation and storage,21.7,,,,
2007,Transportation and storage,29.1,,,,
2008,Transportation and storage,35.4,,,,
2009,Transportation and storage,38.8,41.2,,,
2010,Transportation and storage,43.06,33.6,,,
2011,Transportation and storage,55.81,36.3,,,
2012,Transportation and storage,62.18,43.4,,,
2013,Transportation and storage,68.04,46.5,,,
2014,Transportation and storage,72.41,44.8,,,
2015,Transportation and storage,69.56,55.6,,,
2016,Transportation and storage,74.68,55.3,,,
2017,Transportation and storage,76.29,58.7,,,
2018,Transportation and storage,84.75,59.0,,,
2019,Transportation and storage,85.08,64.3,,,
2020,Transportation and storage,79.26,66.01,,,
2005,Accommodation and food service activities,35.6,,,,
2007,Accommodation and food service activities,41.0,,,,
2008,Accommodation and food service activities,43.6,,,,
2009,Accommodation and food service activities,42.8,8.4,,,
2010,Accommodation and food service activities,42.81,8.2,,,
2011,Accommodation and food service activities,51.28,9.1,,,
2012,Accommodation and food service activities,55.72,9.3,,,
2013,Accommodation and food service activities,60.99,10.3,,,
2014,Accommodation and food service activities,64.0,11.8,,,
2015,Accommodation and food service activities,63.21,13.7,,,
2016,Accommodation and food service activities,69.61,13.3,,,
2017,Accommodation and food service activities,78.1,14.6,,,
2018,Accommodation and food service activities,77.41,13.9,,,
2019,Accommodation and food service activities,83.76,13.8,,,
2020,Accommodation and food service activities,72.08,15.99,,,
2005,Information and communication,66.0,,,,
2007,Information and communication,76.3,,,,
2008,Information and communication,85.9,,,,
2009,Information and communication,84.9,61.8,,,
2010,Information and communication,75.94,70.0,,,
2011,Information and communication,78.11,71.9,,,
2012,Information and communication,80.22,72.7,,,
2013,Information and communication,91.58,78.4,,,
2014,Information and communication,83.33,77.8,,,
2015,Information and communication,85.07,75.4,,,
2016,Information and communication,98.27,80.8,,,
2017,Information and communication,103.86,82.9,,,
2018,Information and communication,122.86,83.1,,,
2019,Information and communication,117.88,86.5,,,
2020,Information and communication,125.45,83.49,,,
2005,"Financial, banking and insurance activities",257.3,,,,
2007,"Financial, banking and insurance activities",84.0,,,,
2008,"Financial, banking and insurance activities",103.3,,,,
2009,"Financial, banking and insurance activities",435.6,67.3,,,
2010,"Financial, banking and insurance activities",452.31,79.3,,,
2011,"Financial, banking and insurance activities",493.36,78.7,,,
2012,"Financial, banking and insurance activities",551.63,78.8,,,
2013,"Financial, banking and insurance activities",581.62,80.2,,,
2014,"Financial, banking and insurance activities",580.06,80.8,,,
2015,"Financial, banking and insurance activities",621.35,82.9,,,
2016,"Financial, banking and insurance activities",626.03,82.9,,,
2017,"Financial, banking and insurance activities",730.55,81.0,,,
2018,"Financial, banking and insurance activities",723.06,85.4,,,
2019,"Financial, banking and insurance activities",665.78,86.0,,,
2020,"Financial, banking and insurance activities",742.87,85.07,,,
2005,Real estate activities,3232.2,,,,
2007,Real estate activities,541.0,,,,
2008,Real estate activities,699.8,,,,
2009,Real estate activities,1769.2,29.3,,,
2010,Real estate activities,1303.88,39.4,,,
2011,Real estate activities,1361.5,33.2,,,
2012,Real estate activities,1196.2,30.8,,,
2013,Real estate activities,1246.76,33.5,,,
2014,Real estate activities,1247.55,32.4,,,
2015,Real estate activities,1308.43,42.3,,,
2016,Real estate activities,1191.68,41.4,,,
2017,Real estate activities,1057.16,40.5,,,
2018,Real estate activities,974.55,56.6,,,
2019,Real estate activities,897.48,45.4,,,
2020,Real estate activities,865.59,43.58,,,
2005,"Professional, scientific and technical activities",82.0,,,,
2007,"Professional, scientific and technical activities",107.2,,,,
2008,"Professional, scientific and technical activities",117.6,,,,
2009,"Professional, scientific and technical activities",111.2,63.4,,,
2010,"Professional, scientific and technical activities",126.31,65.2,,,
2011,"Professional, scientific and technical activities",159.81,73.1,,,
2012,"Professional, scientific and technical activities",166.45,75.7,,,
2013,"Professional, scientific and technical activities",194.1,73.6,,,
2014,"Professional, scientific and technical activities",222.36,77.0,,,
2015,"Professional, scientific and technical activities",229.74,76.0,,,
2016,"Professional, scientific and technical activities",263.73,81.4,,,
2017,"Professional, scientific and technical activities",262.17,78.4,,,
2018,"Professional, scientific and technical activities",251.69,82.6,,,
2019,"Professional, scientific and technical activities",241.3,80.2,,,
2020,"Professional, scientific and technical activities",233.36,81.93,,,
2005,Administrative and support service activities,32.3,,,,
2007,Administrative and support service activities,34.7,,,,
2008,Administrative and support service activities,40.8,,,,
2009,Administrative and support service activities,41.6,30.2,,,
2010,Administrative and support service activities,41.96,31.8,,,
2011,Administrative and support service activities,50.57,35.7,,,
2012,Administrative and support service activities,51.21,35.2,,,
2013,Administrative and support service activities,59.51,39.3,,,
2014,Administrative and support service activities,55.39,36.4,,,
2015,Administrative and support service activities,53.3,42.3,,,
2016,Administrative and support service activities,65.07,43.2,,,
2017,Administrative and support service activities,60.69,42.0,,,
2018,Administrative and support service activities,60.89,43.3,,,
2019,Administrative and support service activities,62.97,43.5,,,
2020,Administrative and support service activities,53.32,44.1,,,
2005,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",13.7,,,,
2007,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",18.8,,,,
2008,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",25.0,,,,
2009,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",29.5,63.0,,,
2010,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",40.22,71.9,,,
2011,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",45.4,71.8,,,
2012,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",51.96,73.8,,,
2013,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",55.77,76.4,,,
2014,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",61.83,76.9,,,
2015,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",67.37,79.7,,,
2016,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",72.99,82.7,,,
2017,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",80.72,82.7,,,
2018,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",90.8,87.9,,,
2019,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",112.82,85.9,,,
2020,"Activities of Communist Party, socio-political organizations; public administration and defence; compulsory security",124.87,85.11,,,
2005,Education and training,21.4,,,,
2007,Education and training,23.0,,,,
2008,Education and training,25.6,,,,
2009,Education and training,27.0,78.0,,,
2010,Education and training,29.82,90.8,,,
2011,Education and training,38.29,90.3,,,
2012,Education and training,47.7,91.2,,,
2013,Education and training,57.88,91.0,,,
2014,Education and training,64.5,90.8,,,
2015,Education and training,73.35,91.3,,,
2016,Education and training,82.74,92.0,,,
2017,Education and training,88.43,91.2,,,
2018,Education and training,96.76,91.5,,,
2019,Education and training,116.14,91.2,,,
2020,Education and training,126.21,91.35,,,
2005,Human health and social work activities,35.0,,,,
2007,Human health and social work activities,41.5,,,,
2008,Human health and social work activities,51.8,,,,
2009,Human health and social work activities,58.3,76.4,,,
2010,Human health and social work activities,53.13,86.9,,,
2011,Human health and social work activities,55.25,86.9,,,
2012,Human health and social work activities,69.6,86.2,,,
2013,Human health and social work activities,116.49,85.4,,,
2014,Human health and social work activities,133.37,88.9,,,
2015,Human health and social work activities,132.78,89.1,,,
2016,Human health and social work activities,171.26,87.8,,,
2017,Human health and social work activities,250.06,90.2,,,
2018,Human health and social work activities,258.03,91.1,,,
2019,Human health and social work activities,273.27,92.2,,,
2020,Human health and social work activities,312.28,89.78,,,
2005,"Arts, entertainment and recreation",76.9,,,,
2007,"Arts, entertainment and recreation",70.2,,,,
2008,"Arts, entertainment and recreation",61.6,,,,
2009,"Arts, entertainment and recreation",61.9,14.0,,,
2010,"Arts, entertainment and recreation",62.2,16.7,,,
2011,"Arts, entertainment and recreation",67.44,16.4,,,
2012,"Arts, entertainment and recreation",73.33,19.3,,,
2013,"Arts, entertainment and recreation",75.76,19.1,,,
2014,"Arts, entertainment and recreation",86.58,23.1,,,
2015,"Arts, entertainment and recreation",89.24,22.2,,,
2016,"Arts, entertainment and recreation",101.19,25.3,,,
2017,"Arts, entertainment and recreation",105.86,26.3,,,
2018,"Arts, entertainment and recreation",118.88,27.4,,,
2019,"Arts, entertainment and recreation",129.79,25.1,,,
2020,"Arts, entertainment and recreation",135.62,27.82,,,
2005,Other service activities,17.9,,,,
2007,Other service activities,25.6,,,,
2008,Other service activities,37.0,,,,
2009,Other service activities,51.1,16.2,,,
2010,Other service activities,49.65,13.5,,,
2011,Other service activities,59.07,15.3,,,
2012,Other service activities,68.73,17.1,,,
2013,Other service activities,73.8,23.9,,,
2014,Other service activities,85.12,21.7,,,
2015,Other service activities,82.66,19.1,,,
2016,Other service activities,93.91,20.2,,,
2017,Other service activities,102.74,22.5,,,
2018,Other service activities,102.93,21.3,,,
2019,Other service activities,100.86,20.7,,,
2020,Other service activities,102.31,21.07,,,
2005,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,7.5,,,,
2007,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,11.0,,,,
2008,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,15.6,,,,
2009,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,15.8,4.2,,,
2010,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,14.97,3.8,,,
2011,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,20.55,2.9,,,
2012,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,25.73,3.6,,,
2013,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,29.03,2.9,,,
2014,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,30.1,2.5,,,
2015,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,31.47,2.7,,,
2016,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,34.38,2.9,,,
2017,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,41.77,3.0,,,
2018,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,45.3,2.6,,,
2019,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,44.14,2.2,,,
2020,Activities of households as employers; undifferentiated goods and services producing activities of households for own use,50.34,2.98,,,
2009,Activities of extraterritorial organizations and bodies,,85.4,,,
2010,Activities of extraterritorial organizations and bodies,,97.2,,,
2011,Activities of extraterritorial organizations and bodies,,82.0,,,
2012,Activities of extraterritorial organizations and bodies,,82.1,,,
2013,Activities of extraterritorial organizations and bodies,,84.5,,,
2014,Activities of extraterritorial organizations and bodies,,90.0,,,
2015,Activities of extraterritorial organizations and bodies,,89.8,,,
2016,Activities of extraterritorial organizations and bodies,,74.3,,,
2017,Activities of extraterritorial organizations and bodies,,88.5,,,
2018,Activities of extraterritorial organizations and bodies,,85.5,,,
2019,Activities of extraterritorial organizations and bodies,,86.5,,,
2020,Activities of extraterritorial organizations and bodies,,81.57,,,
2009,Vocational training,,,,,4.8
2010,Vocational training,,,,,1.9
2011,Vocational training,,,,,2.1
2012,Vocational training,,,,,2.7
2013,Vocational training,,,,,3.3
2014,Vocational training,,,,,2.9
2015,Vocational training,,,,,3.3
2016,Vocational training,,,,,3.2
2017,Vocational training,,,,,3.5
2018,Vocational training,,,,,3.6
2019,Vocational training,,,,,3.7
2020,Vocational training,,,,,4.71
2009,Long-term vocational training,,,,,2.7
2010,Long-term vocational training,,,,,5.199999999999999
2011,Long-term vocational training,,,,,5.299999999999999
2012,Long-term vocational training,,,,,5.299999999999999
2013,Long-term vocational training,,,,,5.399999999999999
2014,Long-term vocational training,,,,,5.300000000000001
2015,Long-term vocational training,,,,,5.4
2016,Long-term vocational training,,,,,5.3
2017,Long-term vocational training,,,,,5.3
2018,Long-term vocational training,,,,,5.2
2019,Long-term vocational training,,,,,4.7
2020,Long-term vocational training,,,,,4.4
2009,College,,,,,1.5
2010,College,,,,,2.0
2011,College,,,,,2.1
2012,College,,,,,2.3
2013,College,,,,,2.5
2014,College,,,,,2.7
2015,College,,,,,3.0
2016,College,,,,,3.2
2017,College,,,,,3.3
2018,College,,,,,3.7
2019,College,,,,,3.8
2020,College,,,,,3.82
2009,Graduate and above,,,,,5.5
2010,Graduate and above,,,,,5.6
2011,Graduate and above,,,,,6.1
2012,Graduate and above,,,,,6.4
2013,Graduate and above,,,,,7.0
2014,Graduate and above,,,,,7.8
2015,Graduate and above,,,,,8.7
2016,Graduate and above,,,,,9.2
2017,Graduate and above,,,,,9.5
2018,Graduate and above,,,,,9.5
2019,Graduate and above,,,,,10.6
2020,Graduate and above,,,,,11.12
